"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 09 23:00:06 GMT 2025","Sun Mar 09 23:00:18 GMT 2025","11126","chromium","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Verify that a new User can be logged in after registering as a new Employee",""
"passed","Sun Mar 09 22:59:46 GMT 2025","Sun Mar 09 22:59:55 GMT 2025","8622","chromium","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Adding a New Employee from Administrator account",""
"passed","Sun Mar 09 23:02:20 GMT 2025","Sun Mar 09 23:02:33 GMT 2025","13707","firefox","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Verify that a new User can be logged in after registering as a new Employee",""
"passed","Sun Mar 09 23:01:36 GMT 2025","Sun Mar 09 23:01:53 GMT 2025","17233","firefox","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Verify that an administrator can successfully edit an employee's details",""
"passed","Sun Mar 09 22:59:10 GMT 2025","Sun Mar 09 22:59:21 GMT 2025","10872","chromium","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Verify that a new User can be logged in after registering as a new Employee",""
"passed","Sun Mar 09 23:03:34 GMT 2025","Sun Mar 09 23:03:47 GMT 2025","13013","Webkit","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Verify that a new User can be logged in after registering as a new Employee",""
"passed","Sun Mar 09 22:59:31 GMT 2025","Sun Mar 09 22:59:46 GMT 2025","14766","chromium","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Verify that an administrator can successfully edit an employee's details",""
"passed","Sun Mar 09 23:00:28 GMT 2025","Sun Mar 09 23:00:44 GMT 2025","16438","chromium","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Verify that an administrator can successfully edit an employee's details",""
"passed","Sun Mar 09 23:01:54 GMT 2025","Sun Mar 09 23:02:06 GMT 2025","11370","firefox","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Adding a New Employee from Administrator account",""
"passed","Sun Mar 09 23:03:07 GMT 2025","Sun Mar 09 23:03:22 GMT 2025","15024","Webkit","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Adding a New Employee from Administrator account",""
"passed","Sun Mar 09 22:58:51 GMT 2025","Sun Mar 09 22:59:00 GMT 2025","9439","chromium","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Adding a New Employee from Administrator account",""
"passed","Sun Mar 09 23:00:45 GMT 2025","Sun Mar 09 23:00:58 GMT 2025","12391","firefox","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Adding a New Employee from Administrator account",""
"passed","Sun Mar 09 23:02:46 GMT 2025","Sun Mar 09 23:03:05 GMT 2025","18875","firefox","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Verify that an administrator can successfully edit an employee's details",""
"passed","Sun Mar 09 23:04:41 GMT 2025","Sun Mar 09 23:04:55 GMT 2025","13665","Webkit","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Verify that a new User can be logged in after registering as a new Employee",""
"passed","Sun Mar 09 23:01:10 GMT 2025","Sun Mar 09 23:01:24 GMT 2025","13451","firefox","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Verify that a new User can be logged in after registering as a new Employee",""
"passed","Sun Mar 09 23:03:59 GMT 2025","Sun Mar 09 23:04:16 GMT 2025","17600","Webkit","pimPage.spec.js","Tests for the employee management functionality in the OrangeHRM system","","","Verify that an administrator can successfully edit an employee's details",""
"passed","Sun Mar 09 23:04:17 GMT 2025","Sun Mar 09 23:04:28 GMT 2025","11470","Webkit","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Adding a New Employee from Administrator account",""
"passed","Sun Mar 09 23:05:07 GMT 2025","Sun Mar 09 23:05:25 GMT 2025","18678","Webkit","pimPage.spec.ts","Tests for the employee management functionality in the OrangeHRM system","","","Verify that an administrator can successfully edit an employee's details",""
